video_id,platform,category,title,cover_description,publish_date,posting_hour,hashtags,views,impressions,ctr,likes,comments,shares,views_1h,views_3h,views_6h,views_12h,views_24h,likes_1h,likes_3h,likes_6h,likes_12h,likes_24h,ctr_1h,ctr_3h,ctr_6h,ctr_12h,ctr_24h
YF-11,youtube,food,Easy Homemade Pita Bread Recipe,"Low Contrast/Simple: Brown pita bread on a plain white plate. Text is centered, light brown. Very low visual contrast.",2024-11-16,14,"#pitabread,#homemade,#baking",40000,800000,0.05,2500,120,450,6000,14000,24000,34000,40000,375,875,1500,2125,2500,0.055,0.052,0.051,0.05,0.05
YF-12,youtube,food,The Best Way to Cook Steak (Gordon Ramsay Method),"Extreme Contrast/Authority: Close-up of a perfectly seared steak, dark crust contrasting with pink interior. Text uses a premium gold color, emphasizing 'BEST WAY' and 'Gordon Ramsay'.",2024-11-28,21,"#steak,#gordonramsay,#cookinghack",230000,1769230,0.13,15500,950,3500,34500,80500,138000,195500,230000,2325,5425,9300,13175,15500,0.14,0.135,0.132,0.13,0.13
YF-13,youtube,food,Review of the New Air Fryer Model,Medium Contrast/Product: Image of the black Air Fryer appliance. Text is simple white. Good product shot but unexciting.,2024-11-19,17,"#airfryer,#review,#kitchengadget",85000,1416666,0.06,4200,280,800,12750,29750,51000,72250,85000,630,1470,2520,3570,4200,0.065,0.062,0.061,0.06,0.06
YF-14,youtube,food,Quick Lunch Ideas for Under 5 Minutes,Low Contrast/Unfocused: Collage of four different small lunchboxes. Visuals are busy and text is small.,2024-11-17,13,"#quicklunch,#mealprep,#5minute",35000,777777,0.045,1800,90,350,5250,12250,21000,29750,35000,270,630,1080,1530,1800,0.05,0.048,0.046,0.045,0.045
YF-15,youtube,food,STOP Cooking Rice Like This! Simple Game-Changing Method,"High Contrast/Urgency: A steaming pot of perfectly cooked rice next to a hand making a 'STOP' gesture. Text uses bold red and yellow, emphasizing 'STOP Cooking' and 'GAME-CHANGING'.",2024-11-29,19,"#ricehack,#cookingtip,#foodsecrets",175000,1590909,0.11,11000,700,2600,26250,61250,105000,148750,175000,1650,3850,6600,9350,11000,0.12,0.115,0.112,0.11,0.11
YF-16,youtube,food,Simple Holiday Dessert Ideas,"Medium Contrast/Seasonal: A festive, red and green themed dessert spread. Text is a cursive, elegant font, appealing but low contrast.",2024-12-01,18,"#holidaydessert,#christmasfood,#baking",110000,1571428,0.07,6500,400,1300,16500,38500,66000,93500,110000,975,2275,3900,5525,6500,0.075,0.072,0.071,0.07,0.07
YF-17,youtube,food,The Secret Ingredient That Makes All Pasta Taste Better,"High Contrast/Secret: Close-up of a spoon lifting a bright, glistening ingredient (butter/oil). Text uses large, deep blue font with the word 'SECRET' in a huge, sparkling font.",2024-12-02,20,"#pasta,#cookingsecret,#flavourhack",180000,1636363,0.11,11500,750,2400,27000,63000,108000,153000,180000,1725,4025,6900,9775,11500,0.12,0.115,0.112,0.11,0.11
YF-18,youtube,food,My Favorite Quick Dinner Recipes,"Low Contrast/Personal: Collage of several plates of food, taken from above. Text is small, simple, lacks visual differentiation.",2024-11-30,12,"#dinnerrecipes,#quickmeals,#personal",55000,1100000,0.05,2800,150,500,8250,19250,33000,46750,55000,420,980,1680,2380,2800,0.055,0.052,0.051,0.05,0.05
YF-19,youtube,food,Beginner's Guide to Home Brewing Beer,"Medium Contrast/Niche: Dark beer being poured into a glass, generating foam. Text is deep orange, appealing to a niche audience but not broadly high contrast.",2024-11-26,17,"#homebrewing,#beer,#diy",90000,1500000,0.06,4500,300,900,13500,31500,54000,76500,90000,675,1575,2700,3825,4500,0.065,0.062,0.061,0.06,0.06
YF-20,youtube,food,$5 vs $500 Steak: Can You Taste The Difference?,"Extreme Contrast/Challenge: Split screen showing a raw, cheap steak next to a marbleized, expensive one. Text uses a huge dollar sign ($) and bold, black and white contrast.",2024-12-03,21,"#steakchallenge,#foodtest,#expensivefood",245000,1884615,0.13,16500,1000,3700,36750,85750,147000,208250,245000,2475,5775,9900,14025,16500,0.14,0.135,0.132,0.13,0.13
YF-21,youtube,food,Easy No-Bake Cheesecake Recipe,"Low Contrast/Aesthetic: A simple cheesecake slice on a white plate. Soft lighting, small, elegant text. Low urgency.",2024-12-04,15,"#cheesecake,#nobake,#dessert",60000,1200000,0.05,3000,180,600,9000,21000,36000,51000,60000,450,1050,1800,2550,3000,0.055,0.052,0.051,0.05,0.05
YF-22,youtube,food,The Secret Technique to PERFECT Pizza Dough,"High Contrast/Teaching: Hands aggressively kneading white dough, flour flying. Text uses bold, large, red font emphasizing 'SECRET TECHNIQUE' and 'PERFECT'.",2024-12-05,19,"#pizzadough,#bakingtip,#cookingtips",170000,1619047,0.105,11500,700,2500,25500,59500,102000,144500,170000,1725,4025,6900,9775,11500,0.115,0.11,0.108,0.106,0.105
YF-23,youtube,food,Review of the Latest Coffee Grinder,Medium Contrast/Product: Image of the black Coffee Grinder appliance. Text is simple white. Good product shot but unexciting.,2024-12-06,13,"#coffeegrinder,#review,#gadget",70000,1166666,0.06,3500,200,700,10500,24500,42000,59500,70000,525,1225,2100,2975,3500,0.065,0.062,0.061,0.06,0.06
YF-24,youtube,food,10 Recipes I Couldn't Live Without (MUST WATCH),"High Contrast/List/Urgency: Collage of 10 vibrant food photos. Giant number '10' is highlighted in green. Text uses aggressive red, emphasizing 'MUST WATCH'.",2024-12-07,20,"#toprecipes,#foodlist,#mustwatch",200000,1600000,0.125,13500,850,3000,30000,70000,120000,170000,200000,2025,4725,8100,11475,13500,0.135,0.13,0.128,0.126,0.125
YF-25,youtube,food,Budget-Friendly Dinner Recipes,"Low Contrast/Budget: Photo of common, inexpensive ingredients on a counter. Small, light blue text focused on cost.",2024-12-08,16,"#budgetmeals,#cheaprecipes,#dinner",55000,1100000,0.05,2700,150,550,8250,19250,33000,46750,55000,405,945,1620,2295,2700,0.055,0.052,0.051,0.05,0.05
YF-26,youtube,food,The TRUTH About Air Fryers: Are They Worth It?,"High Contrast/Question: Close-up of food being fried in an air fryer with dramatic lighting. Text uses huge, aggressive red font for 'TRUTH' and question mark.",2024-12-09,21,"#airfryer,#review,#cookingtruth",185000,1541666,0.12,12000,800,2700,27750,64750,111000,157250,185000,1800,4200,7200,10200,12000,0.13,0.125,0.122,0.12,0.12
YF-27,youtube,food,Simple Summer Salad Recipes,"Low Contrast/Seasonal: Bright, colorful salad in a wooden bowl. Text is small, elegant, lacking visual tension.",2024-12-10,14,"#summerrecipes,#salad,#healthy",65000,1300000,0.05,3200,190,650,9750,22750,39000,55250,65000,480,1120,1920,2720,3200,0.055,0.052,0.051,0.05,0.05
YF-28,youtube,food,My Mom's Secret Family Chili Recipe REVEALED,"High Contrast/Personal: A person's hand stirring thick, rich chili, steam rising. Text uses a large, inviting handwritten-style font, emphasizing 'SECRET FAMILY'.",2024-12-11,18,"#chili,#familyrecipe,#secret",175000,1666666,0.105,11000,750,2500,26250,61250,105000,148750,175000,1650,3850,6600,9350,11000,0.115,0.11,0.108,0.106,0.105
YF-29,youtube,food,Beginner's Guide to Knife Skills,"Medium Contrast/Teaching: Close-up of a chef's hand safely cutting vegetables. Text is clear and concise, professional blue font.",2024-12-12,11,"#knifeskills,#cookingbasics,#tutorial",75000,1250000,0.06,4000,250,800,11250,26250,45000,63750,75000,600,1400,2400,3400,4000,0.065,0.062,0.061,0.06,0.06
YF-30,youtube,food,You've Been Making COFFEE Wrong Your Entire Life,"Extreme Contrast/Shock: A dark, moody shot of coffee being poured, with exaggerated foam. Text is bold red and white, emphasizing 'WRONG' and 'Entire Life'.",2024-12-13,20,"#coffeetips,#coffeelover,#brewguide",220000,1692307,0.13,15000,950,3300,33000,77000,132000,187000,220000,2250,5250,9000,12750,15000,0.14,0.135,0.132,0.13,0.13
YT-31,youtube,tech,iPhone 17 SHOCKING New Design Leaked!,"Extreme Contrast/Leak: High-resolution render of a futuristic iPhone, with key elements glowing bright blue. Huge red circle highlighting a design change. Text uses bold red and yellow.",2024-11-25,18,"#appleleak,#iphone17,#techreview",280000,2000000,0.14,19000,1800,5500,42000,98000,168000,238000,280000,2850,6650,11400,16150,19000,0.15,0.145,0.142,0.14,0.14
YT-32,youtube,tech,Beginner's Guide to Setting Up a Home Server,Low Contrast/Tutorial: Screenshot of a command line interface on a dark background. Text is small and instructional. Lacks a clear visual hook for non-experts.,2024-11-24,14,"#homelab,#serversetup,#linux",95000,1583333,0.06,4500,450,950,14250,33250,57000,80750,95000,675,1575,2700,3825,4500,0.065,0.062,0.061,0.06,0.06
YT-33,youtube,tech,I Tested 5 New AI Tools That Will Change Your Workflow,"High Contrast/List: A large, bright number '5' on a dark, geometric background. Imagery uses bright green AI neural network graphics. Text promises 'CHANGE YOUR WORKFLOW'.",2024-11-22,19,"#aitools,#workflowhack,#productivity",195000,1950000,0.1,12500,800,2200,29250,68250,117000,165750,195000,1875,4375,7500,10625,12500,0.11,0.105,0.102,0.1,0.1
YT-34,youtube,tech,Review: The New Mid-Range Laptop You Should Buy,"Medium Contrast/Product: Clean, frontal shot of a closed laptop on a minimalist desk. Text is simple, centered in white. Good clarity but low emotional impact.",2024-11-20,16,"#laptopreview,#techgadgets,#newlaptop",110000,1833333,0.06,5500,380,1100,16500,38500,66000,93500,110000,825,1925,3300,4675,5500,0.065,0.062,0.061,0.06,0.06
YT-35,youtube,tech,DON'T BUY A 4090! The Alternative is SHOCKINGLY Better,"Extreme Contrast/Clickbait: Image of a burned-out graphics card next to a shining, futuristic component. Text is red and yellow with 'DON'T BUY' emphasized by a cross-out graphic.",2024-11-23,20,"#4090,#pcbuild,#graphicscard",240000,1714285,0.14,16000,1500,4500,36000,84000,144000,204000,240000,2400,5600,9600,13600,16000,0.15,0.145,0.142,0.14,0.14
YT-36,youtube,tech,This Smartwatch Can Predict Your Sickness Days Ahead!,"High Contrast/Future Tech: Close-up of a watch face displaying complex health data in vibrant colors (neon green/red). Text is bold white, emphasizing 'PREDICT' and 'SICKNESS'.",2024-11-26,18,"#smartwatch,#healthtech,#futuregadget",205000,1952380,0.105,13000,900,2500,30750,71750,123000,174250,205000,1950,4550,7800,11050,13000,0.115,0.11,0.108,0.106,0.105
YT-37,youtube,tech,Unboxing the Newest Budget Smartphone,Low Contrast/Routine: Hand opening a generic white phone box. Text is small and descriptive.,2024-11-21,15,"#smartphone,#unboxing,#budgetphone",85000,1416666,0.06,4000,300,850,12750,29750,51000,72250,85000,600,1400,2400,3400,4000,0.065,0.062,0.061,0.06,0.06
YT-38,youtube,tech,Is Apple About to RUIN The Mac Studio?,"Extreme Contrast/Negative Hook: A dark, moody shot of a Mac Studio with a giant, fractured red 'X' over it. Text uses angry, large red and black font.",2024-11-27,21,"#macstudio,#apple,#techcontroversy",265000,1892857,0.14,17000,1600,5000,39750,92750,159000,225250,265000,2550,5950,10200,14450,17000,0.15,0.145,0.142,0.14,0.14
YT-39,youtube,tech,How to Optimize Your Wi-Fi Router Settings,"Medium Contrast/Instructional: Screenshot of router settings page. Text is professional, blue, focused on 'OPTIMIZE'.",2024-11-26,13,"#wifihack,#routersetup,#internet",105000,1750000,0.06,5000,400,1000,15750,36750,63000,89250,105000,750,1750,3000,4250,5000,0.065,0.062,0.061,0.06,0.06
YT-40,youtube,tech,The Beginner's Guide to 3D Printing (Everything You Need),"High Contrast/Teaching: A clean, complex 3D printed object next to a 3D printer. Text uses clear, approachable green and white, emphasizing 'BEGINNER'S GUIDE'.",2024-11-28,19,"#3dprinting,#beginnertech,#diy",215000,2150000,0.1,14000,1000,2800,32250,75250,129000,182750,215000,2100,4900,8400,11900,14000,0.1,,,,
YT-41,youtube,tech,Review of the Latest Mechanical Keyboard,Low Contrast/Product: Close-up of a grey/black mechanical keyboard. Simple white text. Generic review thumbnail.,2024-11-29,15,"#keyboard,#review,#pcsetup",75000,1250000,0.06,3800,250,750,11250,26250,45000,63750,75000,570,1330,2280,3230,3800,0.065,0.062,0.061,0.06,0.06
YT-42,youtube,tech,"I Spent $10,000 On Amazon Tech (And Regretted It)","Extreme Contrast/Regret: A massive pile of Amazon boxes with a person looking dramatically sad/regretful. Text uses large, bold red, emphasizing the dollar amount and 'REGRETTED'.",2024-11-30,20,"#amazontech,#techhaul,#experiment",275000,1964285,0.14,18000,1700,5200,41250,96250,165000,233750,275000,2700,6300,10800,15300,18000,0.15,0.145,0.142,0.14,0.14
YT-43,youtube,tech,How to Set Up Your New Gaming Console,Medium Contrast/Instructional: Console controller next to a TV screen. Text is standard white.,2024-12-01,17,"#gamingconsole,#setupguide,#newtech",120000,2000000,0.06,6000,450,1200,18000,42000,72000,102000,120000,900,2100,3600,5100,6000,0.065,0.062,0.061,0.06,0.06
YT-44,youtube,tech,Is Google's NEW AI Going to Kill ChatGPT?,"High Contrast/Question/Controversy: Two logos (Google and OpenAI) clashing with a neon purple glow. Text uses aggressive orange and black, emphasizing 'KILL' and the question mark.",2024-12-02,21,"#aifuture,#chatgpt,#googleai",225000,2250000,0.1,15000,1100,3000,33750,78750,135000,191250,225000,2250,5250,9000,12750,15000,0.11,0.105,0.102,0.1,0.1
YT-45,youtube,tech,The Best Budget Monitors for Creatives,"Low Contrast/List: Three monitors side-by-side. Text is small, listing prices. Low visual energy.",2024-12-03,14,"#budgetmonitors,#creativegear,#techlist",80000,1333333,0.06,4000,280,800,12000,28000,48000,68000,80000,600,1400,2400,3400,4000,0.065,0.062,0.061,0.06,0.06
YT-46,youtube,tech,You're Charging Your Phone WRONG! 5 Tips to Fix It,"High Contrast/Urgency: A charging phone with a large, flashing red 'X' over the charging port. Text uses bold red and yellow, emphasizing 'WRONG' and 'FIX IT'.",2024-12-04,19,"#phonehacks,#batterylife,#techsecrets",210000,1826086,0.115,13500,950,2700,31500,73500,126000,178500,210000,2025,4725,8100,11475,13500,0.125,0.12,0.118,0.116,0.115
YT-47,youtube,tech,Review of the Latest VR Headset,Medium Contrast/Product: Person wearing the VR headset looking excited. Text is simple white. Standard review format.,2024-12-05,16,"#vrheadset,#review,#virtualreality",100000,1666666,0.06,4800,350,900,15000,35000,60000,85000,100000,720,1680,2880,4080,4800,0.065,0.062,0.061,0.06,0.06
YT-48,youtube,tech,I Built a PC for $500 (Is It Any Good?),"Extreme Contrast/Challenge/Value: A fully built PC glowing with LED lights, next to a giant, bold ""$500"" price tag. Text uses huge green and white contrast.",2024-12-06,20,"#pcbuild,#budgetpc,#techchallenge",255000,1821428,0.14,17500,1500,4800,38250,89250,153000,216750,255000,2625,6125,10500,14875,17500,0.15,0.145,0.142,0.14,0.14
YT-49,youtube,tech,My Ultimate Home Office Desk Tour,"Low Contrast/Aesthetic: Wide shot of a clean, wooden desk setup. Focus is on aesthetics, not data/hook.",2024-12-07,15,"#homeoffice,#desksetup,#tour",90000,1500000,0.06,4200,300,850,13500,31500,54000,76500,90000,630,1470,2520,3570,4200,0.065,0.062,0.061,0.06,0.06
YT-50,youtube,tech,7 Tech Stocks You Must Buy Before 2026,High Contrast/Finance/Urgency: Stock tickers on a bright green rising graph. Large number '7' and 'MUST BUY' in aggressive red text.,2024-12-08,21,"#techstocks,#investing,#finance",235000,2136363,0.11,15500,1200,3200,35250,82250,141000,199750,235000,2325,5425,9300,13175,15500,0.12,0.115,0.112,0.11,0.11
TF-51,tiktok,food,30 Second Viral Ramen Hack That Actually Works,"High Contrast/Fast-Paced: Split screen showing a person's shocked face next to a steaming ramen bowl. Text is large, neon-yellow, emphasizing '30 SECOND' and 'HACK'.",2024-11-25,17,"#foodtok,#ramenhack,#viral",180000,3600000,0.05,18000,950,3000,36000,72000,117000,153000,180000,3600,7200,11700,15300,18000,0.055,0.052,0.051,0.05,0.05
TF-52,tiktok,food,My Grandma's Secret Feta Pasta Recipe,"Medium Contrast/Authentic: A slightly blurry, close-up shot of creamy pasta, clearly taken on a phone. Text is handwritten-style, light pink.",2024-11-24,12,"#pasta,#recipe,#foodie",75000,1500000,0.05,7500,400,1200,15000,30000,48750,63750,75000,1500,3000,4875,6375,7500,0.055,0.052,0.051,0.05,0.05
TF-53,tiktok,food,Mouth-Watering Crispy Potatoes: 1 Ingredient SECRET,"Extreme Contrast/Focus: Close-up of extremely crispy, golden potato wedges, dripping with sauce. A giant, sparkling green circle highlights a small text box saying 'SECRET!'.",2024-11-23,21,"#potatohack,#crispy,#cookingtips",250000,3571428,0.07,28000,1500,5000,50000,100000,162500,212500,250000,5600,11200,18200,23800,28000,0.08,0.075,0.072,0.07,0.07
TF-54,tiktok,food,Quick and Easy 5-Minute Meal Prep,"Low Contrast/Informational: A wide shot of several meal prep containers on a counter. Text is small and white, listing ingredients. Lacks immediate visual appeal.",2024-11-22,14,"#mealprep,#quickmeals,#easyrecipe",45000,1125000,0.04,3500,150,600,9000,18000,29250,38250,45000,700,1400,2275,2975,3500,0.045,0.042,0.041,0.04,0.04
TF-55,tiktok,food,NEVER Order Takeout Again! 3x Better Homemade Pizza,"High Contrast/Comparison: A split-screen comparison of a sad, soggy takeout pizza next to a perfect, homemade one. Bold red arrows point to the better option.",2024-11-21,18,"#pizza,#takeouthack,#homemadefood",190000,3800000,0.05,19000,850,3200,38000,76000,123500,161500,190000,3800,7600,12350,16150,19000,0.055,0.052,0.051,0.05,0.05
TF-56,tiktok,food,$10 Dinner vs $100 Dinner Challenge,Extreme Contrast/Value: Split screen. Left: Simple ramen bowl (dark). Right: Fancy plated steak (bright). Text uses huge yellow $ signs.,2024-11-20,18,"#foodchallenge,#budgetfood,#expensive",250000,4166666,0.06,25000,1200,4500,50000,100000,162500,212500,250000,5000,10000,16250,21250,25000,0.07,0.065,0.062,0.06,0.06
TF-57,tiktok,food,Quick 2-Minute Microwave Mug Cake,"Low Contrast/Simple: A mug cake in a white mug. Text is simple white, small. Low visual engagement.",2024-11-21,13,"#mugcake,#2minuterecipe,#dessert",80000,2000000,0.04,6000,250,900,16000,32000,52000,68000,80000,1200,2400,3900,5100,6000,0.045,0.042,0.041,0.04,0.04
TF-58,tiktok,food,The Crispiest French Fries Secret REVEALED,"High Contrast/Secret: Close-up of intensely golden, crispy french fries. Text uses huge, bright yellow font emphasizing 'SECRET' and 'CRISPIEST'.",2024-11-23,20,"#frenchfries,#secretrecipe,#crispy",290000,4142857,0.07,32000,1500,5000,58000,116000,188500,246500,290000,6400,12800,20800,27200,32000,0.08,0.075,0.072,0.07,0.07
TF-59,tiktok,food,What I Eat In A Day: Healthy Edition,Medium Contrast/Personal: Collage of three plates of healthy food. Text is a friendly pink font. Standard format.,2024-11-24,16,"#whatieatinaday,#healthyfood,#dailyvlog",110000,2750000,0.04,9000,400,1500,22000,44000,71500,93500,110000,1800,3600,5850,7650,9000,0.045,0.042,0.041,0.04,0.04
TF-60,tiktok,food,NEVER Buy Pre-Made Dough Again! 10 Second Recipe,Extreme Contrast/Urgency: A hand aggressively ripping pre-made dough next to perfect homemade dough. Text uses bold red 'NEVER' and huge green '10 SECOND'.,2024-11-26,21,"#bakinghack,#pizza,#quickrecipe",320000,4571428,0.07,35000,1800,5500,64000,128000,208000,272000,320000,7000,14000,22750,29750,35000,0.08,0.075,0.072,0.07,0.07
TF-61,tiktok,food,Simple Dinner Ideas for Students,Low Contrast/Informational: Overhead shot of a simple desk with a notebook and basic meal. Text is small and white.,2024-11-27,11,"#studentlife,#quickmeals,#budget",60000,1500000,0.04,4000,200,700,12000,24000,39000,51000,60000,800,1600,2600,3400,4000,0.045,0.042,0.041,0.04,0.04
TF-62,tiktok,food,The Best Way to Cook BACON! It's Not What You Think,"High Contrast/Controversy: Close-up of perfectly crispy bacon contrasted against dull, undercooked bacon. Text uses bright red 'BEST WAY' and black for 'NOT WHAT YOU THINK'.",2024-11-28,17,"#baconhack,#cookingsecrets,#foodtok",270000,4153846,0.065,28000,1400,4500,54000,108000,175500,229500,270000,5600,11200,18200,23800,28000,0.075,0.07,0.068,0.066,0.065
TF-63,tiktok,food,Trying The New Viral Ramen Flavor,"Medium Contrast/Product: Close-up of a brightly colored ramen package. Text is simple, centered. Standard review.",2024-11-29,15,"#ramen,#review,#viralflavor",95000,2375000,0.04,8000,350,1200,19000,38000,61750,80750,95000,1600,3200,5200,6800,8000,0.045,0.042,0.041,0.04,0.04
TF-64,tiktok,food,I Made McDonald's Famous Sauce At Home! Recipe,"Extreme Contrast/Recreation: A giant spoonful of bright yellow sauce dripping onto a burger. Text is bold black and yellow, emphasizing 'McDonald's' and 'FAMOUS'.",2024-11-30,20,"#mcdonaldshacks,#secretrecipe,#fastfood",350000,5000000,0.07,40000,2000,6000,70000,140000,227500,297500,350000,8000,16000,26000,34000,40000,0.08,0.075,0.072,0.07,0.07
TF-65,tiktok,food,My Favorite Healthy Smoothie Recipe,"Low Contrast/Simple: A green smoothie in a glass. Text is small, simple, and light green.",2024-12-01,10,"#smoothie,#healthyrecipe,#breakfast",55000,1375000,0.04,3800,180,650,11000,22000,35750,46750,55000,760,1520,2470,3230,3800,0.045,0.042,0.041,0.04,0.04
TF-66,tiktok,food,The Only Way to Make Fluffy Pancakes! (MUST TRY),"High Contrast/Teaching: Close-up of extremely thick, fluffy pancakes stacked high. Text uses large, neon blue and white, emphasizing 'ONLY WAY' and 'MUST TRY'.",2024-12-02,21,"#pancakes,#breakfast,#cookinghack",300000,4285714,0.07,35000,1700,5000,60000,120000,195000,255000,300000,7000,14000,22750,29750,35000,0.08,0.075,0.072,0.07,0.07
TF-67,tiktok,food,Quick Dinner Idea with Chicken and Rice,"Medium Contrast/Generic: Wide shot of a plate with chicken and rice. Simple text, informative but not hooking.",2024-12-03,16,"#chickenrecipe,#dinneridea,#easycooking",100000,2500000,0.04,8500,400,1300,20000,40000,65000,85000,100000,1700,3400,5525,7225,8500,0.045,0.042,0.041,0.04,0.04
TF-68,tiktok,food,This Air Fryer Hack is ILLEGAL!,"Extreme Contrast/Hook: A person looking shocked, next to an air fryer with a gigantic, glowing red warning text: 'ILLEGAL HACK'.",2024-12-04,19,"#airfryerhack,#cookingsecrets,#illegal",330000,4714285,0.07,38000,1900,5800,66000,132000,214500,280500,330000,7600,15200,24700,32300,38000,0.08,0.075,0.072,0.07,0.07
TF-69,tiktok,food,Simple Recipe for Homemade Garlic Bread,"Low Contrast/Recipe: Close-up of garlic bread on a baking sheet. Text is small, simple, light yellow.",2024-12-05,12,"#garlicbread,#recipe,#baking",70000,1750000,0.04,5500,250,950,14000,28000,45500,59500,70000,1100,2200,3575,4675,5500,0.045,0.042,0.041,0.04,0.04
